"time","eflow2.integratorPos.y","eflow2.integratorNeg.y","eflow1.integratorPos.y","eflow1.integratorNeg.y","der(eflow2.integratorPos.y)","der(eflow2.integratorNeg.y)","der(eflow1.integratorPos.y)","der(eflow1.integratorNeg.y)","sin1.u","sin1.y","etaconst1.y","etaconst1.posNegSwitch.u1","etaconst1.posNegSwitch.u3","gain1.u","eflow2.limiterNeg.y","eflow2.limiterPos.y","eflow1.limiterNeg.y","eflow1.limiterPos.y","etaconst1.posNegSwitch.u2","etaconst1.Null.y","etaconst1.posEta.y","etaconst1.negEta.y","etaconst1.posNegSwitch.y","etaconst1.greaterequal1.u2","etaconst1.greaterequal1.u1","etaconst1.negEta.u","etaconst1.posEta.u","eflow2.integratorPos.u","eflow2.limiterNeg.u","eflow2.limiterPos.u","eflow2.Eneg","eflow2.integratorNeg.u","eflow2.Epos","eflow1.integratorPos.u","eflow1.limiterNeg.u","eflow1.limiterPos.u","eflow1.Eneg","eflow1.integratorNeg.u","eflow1.Epos","eflow1.u","etaconst1.u","eflow2.u","clock1.y","gain1.y","etaconst1.greaterequal1.y",
0.5200000000000004,0.1799961589466172,-0.1631675556502752,0.1999957321629289,-0.1468508000833902,0,-0.9816162841335017,0,-0.8834546557201515,5.200000000000004,-0.8834546557201515,-0.9816162841335017,-0.7951091901481363,-0.9816162841335017,0.5200000000000004,-0.9816162841335017,0,-0.8834546557201515,0,0,-0.1468508000833902,-0.7951091901481363,-0.9816162841335017,-0.9816162841335017,-0.1468508000833902,-0.8834546557201515,-0.8834546557201515,-0.8834546557201515,0,-0.9816162841335017,-0.9816162841335017,-0.1631675556502752,-0.9816162841335017,0.1799961589466172,0,-0.8834546557201515,-0.8834546557201515,-0.1468508000833902,-0.8834546557201515,0.1999957321629289,-0.8834546557201515,-0.8834546557201515,-0.9816162841335017,0.5200000000000004,5.200000000000004,0,
0.5220000000000004,0.1799961589466172,-0.1651201912551594,0.1999957321629289,-0.1486081721277859,0,-0.9710091799211341,0,-0.8739082619290207,5.220000000000003,-0.8739082619290207,-0.9710091799211341,-0.7865174357361187,-0.9710091799211341,0.5220000000000004,-0.9710091799211341,0,-0.8739082619290207,0,0,-0.1486081721277859,-0.7865174357361187,-0.9710091799211341,-0.9710091799211341,-0.1486081721277859,-0.8739082619290207,-0.8739082619290207,-0.8739082619290207,0,-0.9710091799211341,-0.9710091799211341,-0.1651201912551594,-0.9710091799211341,0.1799961589466172,0,-0.8739082619290207,-0.8739082619290207,-0.1486081721277859,-0.8739082619290207,0.1999957321629289,-0.8739082619290207,-0.8739082619290207,-0.9710091799211341,0.5220000000000004,5.220000000000003,0,
0.5240000000000004,0.1799961589466172,-0.1670512259572443,0.1999957321629289,-0.1503461033596621,0,-0.960013684983414,0,-0.8640123164850726,5.240000000000004,-0.8640123164850726,-0.960013684983414,-0.7776110848365654,-0.960013684983414,0.5240000000000004,-0.960013684983414,0,-0.8640123164850726,0,0,-0.1503461033596621,-0.7776110848365654,-0.960013684983414,-0.960013684983414,-0.1503461033596621,-0.8640123164850726,-0.8640123164850726,-0.8640123164850726,0,-0.960013684983414,-0.960013684983414,-0.1670512259572443,-0.960013684983414,0.1799961589466172,0,-0.8640123164850726,-0.8640123164850726,-0.1503461033596621,-0.8640123164850726,0.1999957321629289,-0.8640123164850726,-0.8640123164850726,-0.960013684983414,0.5240000000000004,5.240000000000004,0,
0.5260000000000004,0.1799961589466172,-0.1689598892795358,0.1999957321629289,-0.1520639003497244,0,-0.9486341973717128,0,-0.8537707776345416,5.260000000000003,-0.8537707776345416,-0.9486341973717128,-0.7683936998710874,-0.9486341973717128,0.5260000000000004,-0.9486341973717128,0,-0.8537707776345416,0,0,-0.1520639003497244,-0.7683936998710874,-0.9486341973717128,-0.9486341973717128,-0.1520639003497244,-0.8537707776345416,-0.8537707776345416,-0.8537707776345416,0,-0.9486341973717128,-0.9486341973717128,-0.1689598892795358,-0.9486341973717128,0.1799961589466172,0,-0.8537707776345416,-0.8537707776345416,-0.1520639003497244,-0.8537707776345416,0.1999957321629289,-0.8537707776345416,-0.8537707776345416,-0.9486341973717128,0.5260000000000004,5.260000000000003,0,
0.5280000000000004,0.1799961589466172,-0.1708454064868854,0.1999957321629289,-0.1537608658363389,0,-0.9368752687293498,0,-0.8431877418564148,5.280000000000004,-0.8431877418564148,-0.9368752687293498,-0.7588689676707733,-0.9368752687293498,0.5280000000000004,-0.9368752687293498,0,-0.8431877418564148,0,0,-0.1537608658363389,-0.7588689676707733,-0.9368752687293498,-0.9368752687293498,-0.1537608658363389,-0.8431877418564148,-0.8431877418564148,-0.8431877418564148,0,-0.9368752687293498,-0.9368752687293498,-0.1708454064868854,-0.9368752687293498,0.1799961589466172,0,-0.8431877418564148,-0.8431877418564148,-0.1537608658363389,-0.8431877418564148,0.1999957321629289,-0.8431877418564148,-0.8431877418564148,-0.9368752687293498,0.5280000000000004,5.280000000000004,0,
0.5300000000000004,0.1799961589466172,-0.1727070315576637,0.1999957321629289,-0.1554363284000393,0,-0.9247416024709992,0,-0.8322674422238993,5.300000000000003,-0.8322674422238993,-0.9247416024709992,-0.7490406980015093,-0.9247416024709992,0.5300000000000004,-0.9247416024709992,0,-0.8322674422238993,0,0,-0.1554363284000393,-0.7490406980015093,-0.9247416024709992,-0.9247416024709992,-0.1554363284000393,-0.8322674422238993,-0.8322674422238993,-0.8322674422238993,0,-0.9247416024709992,-0.9247416024709992,-0.1727070315576637,-0.9247416024709992,0.1799961589466172,0,-0.8322674422238993,-0.8322674422238993,-0.1554363284000393,-0.8322674422238993,0.1999957321629289,-0.8322674422238993,-0.8322674422238993,-0.9247416024709992,0.5300000000000004,5.300000000000003,0,
0.5320000000000004,0.1799961589466172,-0.174544020986737,0.1999957321629289,-0.1570896188862053,0,-0.9122380519013834,0,-0.821014246711245,5.320000000000004,-0.821014246711245,-0.9122380519013834,-0.7389128220401205,-0.9122380519013834,0.5320000000000004,-0.9122380519013834,0,-0.821014246711245,0,0,-0.1570896188862053,-0.7389128220401205,-0.9122380519013834,-0.9122380519013834,-0.1570896188862053,-0.821014246711245,-0.821014246711245,-0.821014246711245,0,-0.9122380519013834,-0.9122380519013834,-0.174544020986737,-0.9122380519013834,0.1799961589466172,0,-0.821014246711245,-0.821014246711245,-0.1570896188862053,-0.821014246711245,0.1999957321629289,-0.821014246711245,-0.821014246711245,-0.9122380519013834,0.5320000000000004,5.320000000000004,0,
0.5340000000000004,0.1799961589466172,-0.1763556411492742,0.1999957321629289,-0.1587200770324886,0,-0.8993696182740194,0,-0.8094326564466174,5.340000000000003,-0.8094326564466174,-0.8993696182740194,-0.7284893908019557,-0.8993696182740194,0.5340000000000004,-0.8993696182740194,0,-0.8094326564466174,0,0,-0.1587200770324886,-0.7284893908019557,-0.8993696182740194,-0.8993696182740194,-0.1587200770324886,-0.8094326564466174,-0.8094326564466174,-0.8094326564466174,0,-0.8993696182740194,-0.8993696182740194,-0.1763556411492742,-0.8993696182740194,0.1799961589466172,0,-0.8094326564466174,-0.8094326564466174,-0.1587200770324886,-0.8094326564466174,0.1999957321629289,-0.8094326564466174,-0.8094326564466174,-0.8993696182740194,0.5340000000000004,5.340000000000003,0,
0.5360000000000004,0.1799961589466172,-0.1781411687995369,0.1999957321629289,-0.1603270519177251,0,-0.8861414487907802,0,-0.7975273039117021,5.360000000000004,-0.7975273039117021,-0.8861414487907802,-0.717774573520532,-0.8861414487907802,0.5360000000000004,-0.8861414487907802,0,-0.7975273039117021,0,0,-0.1603270519177251,-0.717774573520532,-0.8861414487907802,-0.8861414487907802,-0.1603270519177251,-0.7975273039117021,-0.7975273039117021,-0.7975273039117021,0,-0.8861414487907802,-0.8861414487907802,-0.1781411687995369,-0.8861414487907802,0.1799961589466172,0,-0.7975273039117021,-0.7975273039117021,-0.1603270519177251,-0.7975273039117021,0.1999957321629289,-0.7975273039117021,-0.7975273039117021,-0.8861414487907802,0.5360000000000004,5.360000000000004,0,
0.5380000000000004,0.1799961589466172,-0.1798998914019841,0.1999957321629289,-0.1619099022599276,0,-0.8725588345430871,0,-0.7853029510887783,5.380000000000003,-0.7853029510887783,-0.8725588345430871,-0.7067726559799006,-0.8725588345430871,0.5380000000000004,-0.8725588345430871,0,-0.7853029510887783,0,0,-0.1619099022599276,-0.7067726559799006,-0.8725588345430871,-0.8725588345430871,-0.1619099022599276,-0.7853029510887783,-0.7853029510887783,-0.7853029510887783,0,-0.8725588345430871,-0.8725588345430871,-0.1798998914019841,-0.8725588345430871,0.1799961589466172,0,-0.7853029510887783,-0.7853029510887783,-0.1619099022599276,-0.7853029510887783,0.1999957321629289,-0.7853029510887783,-0.7853029510887783,-0.8725588345430871,0.5380000000000004,5.380000000000003,0,
0.5400000000000004,0.1799961589466172,-0.1816311074623749,0.1999957321629289,-0.1634679967142793,0,-0.8586272083955389,0,-0.7727644875559849,5.400000000000004,-0.7727644875559849,-0.8586272083955389,-0.6954880388003865,-0.8586272083955389,0.5400000000000004,-0.8586272083955389,0,-0.7727644875559849,0,0,-0.1634679967142793,-0.6954880388003865,-0.8586272083955389,-0.8586272083955389,-0.1634679967142793,-0.7727644875559849,-0.7727644875559849,-0.7727644875559849,0,-0.8586272083955389,-0.8586272083955389,-0.1816311074623749,-0.8586272083955389,0.1799961589466172,0,-0.7727644875559849,-0.7727644875559849,-0.1634679967142793,-0.7727644875559849,0.1999957321629289,-0.7727644875559849,-0.7727644875559849,-0.8586272083955389,0.5400000000000004,5.400000000000004,0,
0.5420000000000004,0.1799961589466172,-0.1833341111466179,0.1999957321629289,-0.165000700030098,0,-0.844352142812843,0,-0.7599169285315587,5.420000000000003,-0.7599169285315587,-0.844352142812843,-0.6839252356784028,-0.844352142812843,0.5420000000000004,-0.844352142812843,0,-0.7599169285315587,0,0,-0.165000700030098,-0.6839252356784028,-0.844352142812843,-0.844352142812843,-0.165000700030098,-0.7599169285315587,-0.7599169285315587,-0.7599169285315587,0,-0.844352142812843,-0.844352142812843,-0.1833341111466179,-0.844352142812843,0.1799961589466172,0,-0.7599169285315587,-0.7599169285315587,-0.165000700030098,-0.7599169285315587,0.1999957321629289,-0.7599169285315587,-0.7599169285315587,-0.844352142812843,0.5420000000000004,5.420000000000003,0,
0.5440000000000004,0.1799961589466172,-0.1850082225831646,0.1999957321629289,-0.16650740032299,0,-0.8297393476309,0,-0.74676541286781,5.440000000000004,-0.74676541286781,-0.8297393476309,-0.6720888715810289,-0.8297393476309,0.5440000000000004,-0.8297393476309,0,-0.74676541286781,0,0,-0.16650740032299,-0.6720888715810289,-0.8297393476309,-0.8297393476309,-0.16650740032299,-0.74676541286781,-0.74676541286781,-0.74676541286781,0,-0.8297393476309,-0.8297393476309,-0.1850082225831646,-0.8297393476309,0.1799961589466172,0,-0.74676541286781,-0.74676541286781,-0.16650740032299,-0.74676541286781,0.1999957321629289,-0.74676541286781,-0.74676541286781,-0.8297393476309,0.5440000000000004,5.440000000000004,0,
0.5460000000000004,0.1799961589466172,-0.186652776443657,0.1999957321629289,-0.1679874987974331,0,-0.814794667772949,0,-0.7333152009956541,5.460000000000004,-0.7333152009956541,-0.814794667772949,-0.6599836808960887,-0.814794667772949,0.5460000000000004,-0.814794667772949,0,-0.7333152009956541,0,0,-0.1679874987974331,-0.6599836808960887,-0.814794667772949,-0.814794667772949,-0.1679874987974331,-0.7333152009956541,-0.7333152009956541,-0.7333152009956541,0,-0.814794667772949,-0.814794667772949,-0.186652776443657,-0.814794667772949,0.1799961589466172,0,-0.7333152009956541,-0.7333152009956541,-0.1679874987974331,-0.7333152009956541,0.1999957321629289,-0.7333152009956541,-0.7333152009956541,-0.814794667772949,0.5460000000000004,5.460000000000004,0,
0.5480000000000004,0.1799961589466172,-0.1882671146280034,0.1999957321629289,-0.1694404031633448,0,-0.7995240809116723,0,-0.719571672820505,5.480000000000004,-0.719571672820505,-0.7995240809116723,-0.6476145055384546,-0.7995240809116723,0.5480000000000004,-0.7995240809116723,0,-0.719571672820505,0,0,-0.1694404031633448,-0.6476145055384546,-0.7995240809116723,-0.7995240809116723,-0.1694404031633448,-0.719571672820505,-0.719571672820505,-0.719571672820505,0,-0.7995240809116723,-0.7995240809116723,-0.1882671146280034,-0.7995240809116723,0.1799961589466172,0,-0.719571672820505,-0.719571672820505,-0.1694404031633448,-0.719571672820505,0.1999957321629289,-0.719571672820505,-0.719571672820505,-0.7995240809116723,0.5480000000000004,5.480000000000004,0,
0.5500000000000004,0.1799961589466172,-0.1898505911793312,0.1999957321629289,-0.1708655320595399,0,-0.7839336950782104,0,-0.7055403255703894,5.500000000000004,-0.7055403255703894,-0.7839336950782104,-0.6349862930133504,-0.7839336950782104,0.5500000000000004,-0.7839336950782104,0,-0.7055403255703894,0,0,-0.1708655320595399,-0.6349862930133504,-0.7839336950782104,-0.7839336950782104,-0.1708655320595399,-0.7055403255703894,-0.7055403255703894,-0.7055403255703894,0,-0.7839336950782104,-0.7839336950782104,-0.1898505911793312,-0.7839336950782104,0.1799961589466172,0,-0.7055403255703894,-0.7055403255703894,-0.1708655320595399,-0.7055403255703894,0.1999957321629289,-0.7055403255703894,-0.7055403255703894,-0.7839336950782104,0.5500000000000004,5.500000000000004,0,
0.5520000000000004,0.1799961589466172,-0.191402572582995,0.1999957321629289,-0.1722623153228372,0,-0.7680297462190265,0,-0.6912267715971239,5.520000000000004,-0.6912267715971239,-0.7680297462190265,-0.6221040944374115,-0.7680297462190265,0.5520000000000004,-0.7680297462190265,0,-0.6912267715971239,0,0,-0.1722623153228372,-0.6221040944374115,-0.7680297462190265,-0.7680297462190265,-0.1722623153228372,-0.6912267715971239,-0.6912267715971239,-0.6912267715971239,0,-0.7680297462190265,-0.7680297462190265,-0.191402572582995,-0.7680297462190265,0.1799961589466172,0,-0.6912267715971239,-0.6912267715971239,-0.1722623153228372,-0.6912267715971239,0.1999957321629289,-0.6912267715971239,-0.6912267715971239,-0.7680297462190265,0.5520000000000004,5.520000000000004,0,
0.5540000000000004,0.1799961589466172,-0.1929224380655831,0.1999957321629289,-0.1736301942571663,0,-0.7518185957016159,0,-0.6766367361314543,5.540000000000004,-0.6766367361314543,-0.7518185957016159,-0.6089730625183088,-0.7518185957016159,0.5540000000000004,-0.7518185957016159,0,-0.6766367361314543,0,0,-0.1736301942571663,-0.6089730625183088,-0.7518185957016159,-0.7518185957016159,-0.1736301942571663,-0.6766367361314543,-0.6766367361314543,-0.6766367361314543,0,-0.7518185957016159,-0.7518185957016159,-0.1929224380655831,-0.7518185957016159,0.1799961589466172,0,-0.6766367361314543,-0.6766367361314543,-0.1736301942571663,-0.6766367361314543,0.1999957321629289,-0.6766367361314543,-0.6766367361314543,-0.7518185957016159,0.5540000000000004,5.540000000000004,0,
0.5560000000000004,0.1799961589466172,-0.1944095793628191,0.1999957321629289,-0.1749686214246787,0,-0.7353067277700381,0,-0.6617760549930343,5.560000000000004,-0.6617760549930343,-0.7353067277700381,-0.5955984494937309,-0.7353067277700381,0.5560000000000004,-0.7353067277700381,0,-0.6617760549930343,0,0,-0.1749686214246787,-0.5955984494937309,-0.7353067277700381,-0.7353067277700381,-0.1749686214246787,-0.6617760549930343,-0.6617760549930343,-0.6617760549930343,0,-0.7353067277700381,-0.7353067277700381,-0.1944095793628191,-0.7353067277700381,0.1799961589466172,0,-0.6617760549930343,-0.6617760549930343,-0.1749686214246787,-0.6617760549930343,0.1999957321629289,-0.6617760549930343,-0.6617760549930343,-0.7353067277700381,0.5560000000000004,5.560000000000004,0,
